Jan. 09. 2022 Time:[22:02:22] ||  bb_init()
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x0123ec30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x0123ec30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x00a1bc30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x00a1bc30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x00a1bc30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:22] ||  bb_opendir(path="/", fi=0x01a61c30)
Jan. 09. 2022 Time:[22:02:24] ||  bb_statfs(path="/", statv=0x0123ebf0)
Jan. 09. 2022 Time:[22:02:24] ||  bb_opendir(path="/", fi=0x00a1bc30)
Jan. 09. 2022 Time:[22:02:24] ||  Open(path"/main", fi=0x01a61cf0)
Jan. 09. 2022 Time:[22:02:24] ||  Read(path="/main", buf=0xf80097d0, size=16384, offset=0, fi=0x00a1bcf0)
Jan. 09. 2022 Time:[22:02:24] ||  Open(path"/TempStub", fi=0x0123ecf0)
Jan. 09. 2022 Time:[22:02:24] ||  Read(path="/TempStub", buf=0xfc0034f0, size=16384, offset=0, fi=0x01a61cf0)
Jan. 09. 2022 Time:[22:02:24] ||  Open(path"/data", fi=0x01a61cf0)
Jan. 09. 2022 Time:[22:02:24] ||  Read(path="/data", buf=0xf80097d0, size=8192, offset=0, fi=0x00a1bcf0)
Jan. 09. 2022 Time:[22:02:25] ||  bb_statfs(path="/", statv=0x00a1bbf0)
Jan. 09. 2022 Time:[22:02:25] ||  Open(path"/TempStub", fi=0x0123ecf0)
Jan. 09. 2022 Time:[22:02:25] ||  Read(path="/TempStub", buf=0xfc0034f0, size=16384, offset=0, fi=0x01a61cf0)
Jan. 09. 2022 Time:[22:02:25] ||  Open(path"/main", fi=0x01a61cf0)
Jan. 09. 2022 Time:[22:02:25] ||  Read(path="/main", buf=0xf8001740, size=16384, offset=0, fi=0x00a1bcf0)
Jan. 09. 2022 Time:[22:02:25] ||  Open(path"/data", fi=0x01a61cf0)
